learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.103945,1.1659784035550223E-10,10000.0,73.49,44.42730143503759,46.15072110501726,37.4616654871432,10000.0,4336.0
20000.0,0.149443,1.6763414359754986E-10,20000.0,73.64500000000001,44.610482227173534,46.15384615384617,37.554792086245726,20000.0,4336.0
30000.0,0.180521,2.02495153579447E-10,30000.0,73.69,44.65832598763117,45.812165316490464,37.49109052031362,30000.0,4336.0
40000.0,0.204748,2.296712166733212E-10,40000.0,73.8625,45.03334964159588,46.14156192046156,38.01138384916399,40000.0,4336.0
50000.0,0.230633,2.587071019742224E-10,50000.0,73.788,44.92128711479865,46.28908651284783,37.97150835344786,50000.0,4336.0
60000.0,0.25825,2.896858172284232E-10,60000.0,73.715,44.77735715755307,46.35531820810231,37.982697601258344,60000.0,4336.0
70000.0,0.282319,3.1668464756674237E-10,70000.0,73.77428571428571,44.82445713793838,46.31221851786864,37.90630813461864,70000.0,4336.0
80000.0,0.303249,3.4016237904628117E-10,80000.0,73.86500000000001,44.982471385911765,46.402112333051356,38.030172797059784,80000.0,4336.0
90000.0,0.324036,3.6347970366477963E-10,90000.0,73.71,44.65416287850638,46.15647187329328,37.71454143413708,90000.0,4336.0
100000.0,0.353441,3.9646406554513504E-10,100000.0,73.60799999999999,44.434552457625436,45.98665629732716,37.48341860905816,100000.0,4336.0
110000.0,0.382942,4.2955611315038463E-10,110000.0,73.63363636363637,44.461130455934885,45.884877320645586,37.442301885164575,110000.0,4336.0
120000.0,0.41152,4.616128073798285E-10,120000.0,73.595,44.36208260887457,45.88954540797158,37.29642016108285,120000.0,4336.0
130000.0,0.438645,4.920396332939465E-10,130000.0,73.53307692307692,44.24806074413192,45.73713096139289,37.179112652912174,130000.0,4336.0
140000.0,0.458112,5.138762791951497E-10,140000.0,73.56285714285714,44.307070876572794,45.794584144930504,37.22523744911804,140000.0,4336.0
150000.0,0.478982,5.372867070966297E-10,150000.0,73.57333333333334,44.32156171288541,45.82331073693419,37.24770061264228,150000.0,4336.0
160000.0,0.499281,5.600566292802493E-10,160000.0,73.61687500000001,44.397968663234934,45.92790900240817,37.320147890774656,160000.0,4336.0
170000.0,0.52251,5.861132095257441E-10,170000.0,73.60176470588236,44.35246569324394,45.847160043923694,37.262166053878744,170000.0,4336.0
180000.0,0.546113,6.12589315407806E-10,180000.0,73.61166666666666,44.38346879528817,45.90399180001139,37.32483572163724,180000.0,4336.0
190000.0,0.573875,6.437306809756491E-10,190000.0,73.64473684210526,44.441935099502764,45.95484274828933,37.366321029656405,190000.0,4336.0
200000.0,0.592502,6.64625076784028E-10,200000.0,73.636,44.426047488439046,45.90279986457233,37.35311939358656,200000.0,4336.0
210000.0,0.611372,6.857920520835453E-10,210000.0,73.62666666666667,44.422850769553484,45.8558998924626,37.383832673827015,210000.0,4336.0
220000.0,0.629705,7.063566603594357E-10,220000.0,73.64909090909092,44.46289738219355,45.89893145443516,37.41417282031351,220000.0,4336.0
230000.0,0.649494,7.285545021295548E-10,230000.0,73.64478260869565,44.46826849792493,45.912931749841604,37.450211536477134,230000.0,4336.0
240000.0,0.669199,7.506581188903915E-10,240000.0,73.67416666666666,44.52846550113738,45.99275139330529,37.50420384181684,240000.0,4336.0
250000.0,0.687669,7.713764036695163E-10,250000.0,73.6808,44.56227088556662,46.003036395716215,37.56890875105557,250000.0,4336.0
260000.0,0.708455,7.946926065617138E-10,260000.0,73.66038461538461,44.50073499454578,45.970019723865875,37.45787632763769,260000.0,4336.0
270000.0,0.72669,8.151472856601079E-10,270000.0,73.66,44.49327578583999,45.96799927063865,37.440182969739624,270000.0,4336.0
280000.0,0.745753,8.365307541357146E-10,280000.0,73.64642857142857,44.46509688860159,45.93347010550996,37.40509818891291,280000.0,4336.0
290000.0,0.763963,8.569573900765843E-10,290000.0,73.65344827586206,44.48449404871741,45.95884936661408,37.43346599190946,290000.0,4336.0
300000.0,0.782797,8.780839832292663E-10,300000.0,73.65066666666667,44.481454599576686,45.938626307114674,37.42638211639541,300000.0,4336.0
310000.0,0.801279,8.988157287240028E-10,310000.0,73.66032258064517,44.50703098192869,45.97346742978134,37.45605233123714,310000.0,4336.0
320000.0,0.820816,9.207308954662746E-10,320000.0,73.673125,44.54899756572165,46.00757532060525,37.52475027253108,320000.0,4336.0
330000.0,0.848609,9.519070345494482E-10,330000.0,73.67727272727272,44.57017294283553,46.02512800119302,37.57097066306363,330000.0,4336.0
340000.0,0.875715,9.823125476638476E-10,340000.0,73.67058823529412,44.56305813566571,46.012121943129394,37.58845470073553,340000.0,4336.0
350000.0,0.902736,1.0126227140426637E-9,350000.0,73.66057142857143,44.55037251442563,46.00110120546855,37.59063060623499,350000.0,4336.0
360000.0,0.926796,1.039611448844274E-9,360000.0,73.67194444444445,44.56742424897314,46.02786841370985,37.60384985056156,360000.0,4336.0
370000.0,0.952457,1.0683960674537553E-9,370000.0,73.67837837837837,44.586868344915224,46.04910368056016,37.63727291937476,370000.0,4336.0
380000.0,0.977062,1.0959961430894004E-9,380000.0,73.66947368421053,44.571037179801074,46.034691059716955,37.62133652533338,380000.0,4336.0
390000.0,0.998499,1.1200425898035367E-9,390000.0,73.6502564102564,44.531178894084924,46.02022324359816,37.5898068128678,390000.0,4336.0
400000.0,1.017116,1.1409257683489058E-9,400000.0,73.63875,44.49822610811782,46.02141840631495,37.537023434353,400000.0,4336.0
410000.0,1.035521,1.1615711409184669E-9,410000.0,73.64829268292684,44.51501700970315,46.058294307368165,37.55194756402773,410000.0,4336.0
420000.0,1.054872,1.1832776665687562E-9,420000.0,73.64595238095238,44.51001942801829,46.073420866726764,37.55000253891595,420000.0,4336.0
